Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,20328.199219,20412.500000,20312.000000,20385.500000,20385.500000,369559000
2017-11-03,20385.500000,20472.400391,20383.900391,20472.400391,20472.400391,286115200
2017-11-06,20472.400391,20491.400391,20413.599609,20432.599609,20432.599609,254807500
2017-11-07,20432.599609,20465.800781,20307.099609,20307.099609,20307.099609,697228600
2017-11-08,20307.099609,20335.800781,20266.800781,20300.199219,20300.199219,290676600
2017-11-09,20300.199219,20307.500000,20071.900391,20071.900391,20071.900391,389522200
2017-11-10,20071.900391,20088.599609,20004.400391,20020.900391,20020.900391,269612800
2017-11-13,20020.900391,20052.000000,19765.699219,19787.900391,19787.900391,303927000
2017-11-14,19787.900391,19900.400391,19785.500000,19846.599609,19846.599609,399671900
2017-11-15,19846.599609,19850.199219,19645.300781,19693.400391,19693.400391,399278200
2017-11-16,19702.800781,19850.000000,19702.800781,19850.000000,19850.000000,358032100
2017-11-17,19850.000000,19861.099609,19748.000000,19797.800781,19797.800781,300036200
2017-11-20,19797.800781,19878.800781,19738.599609,19871.300781,19871.300781,292606200
2017-11-21,19871.300781,19953.900391,19819.000000,19944.000000,19944.000000,344266200
2017-11-22,19944.000000,20059.400391,19943.900391,20013.900391,20013.900391,361696100
2017-11-23,20013.900391,20038.000000,19931.300781,20006.099609,20006.099609,266166300
2017-11-24,20006.099609,20056.099609,19944.800781,19944.800781,19944.800781,242353100
2017-11-27,19944.800781,19978.699219,19881.300781,19881.300781,19881.300781,283280100
2017-11-28,19881.300781,20030.300781,19876.800781,20026.199219,20026.199219,328694500
2017-11-29,20026.189453,20127.029297,20019.179688,20059.580078,20059.580078,0
